id,name,host_id,neighbourhood,latitude,longitude,room_type,price
20946289,Nettes  Ruhiges Zimmer (Laim),150464220,Hadern,48.12834,11.49214,Private room,22
20946829,2-Zi-Whg in Schwabing Nähe Englischer Garten,78582698,Schwabing-Freimann,48.1589,11.58027,Entire home/apt,69
20951260,"Quiet room, well located, good travel connections",15650454,Laim,48.13727,11.51739,Private room,93
20952147,25 qm bohemian room in the heart of Munich,150182050,Ludwigsvorstadt-Isarvorstadt,48.13648,11.56314,Private room,80
20952602,Room in Munich's hippest neigbourhood: Maxvorstadt,18445649,Maxvorstadt,48.14773,11.56326,Private room,110
20952618,WG Zimmer in U und SBahn Nähe für Wiesnbedienung,150683277,Moosach,48.18118,11.50865,Private room,45
20952813,gemütliches Zimmer in München,150685480,Bogenhausen,48.15843,11.61956,Private room,150
20953060,Ruhiges Schlafzimmer in Laim für 2 Personen,147399908,Pasing-Obermenzing,48.13818,11.48581,Private room,80
20953752,Cosy room near the Oktoberfest,43013265,Sendling-Westpark,48.12097,11.52956,Private room,100
20954144,68m2 Luxury Appartement Maximilian Street,62055673,Altstadt-Lehel,48.13766,11.58058,Entire home/apt,220
20954292,Flat for about 5 people for the Oktoberfest,150700261,Pasing-Obermenzing,48.13782,11.4443,Entire home/apt,280
20954299,Schöne Wohnung in Feldmoching,150692898,Feldmoching-Hasenbergl,48.20915,11.55097,Private room,85
20955690,Schlafmöglichkeit während der Wiesn,150714442,Laim,48.13166,11.48561,Private room,45
20955725,Well located room to Oktoberfest in 15min,150714682,Moosach,48.1737,11.50973,Private room,95
20955927,CENTRAL/ CLEAN/ MODERN - Only 9min to Oktoberfest,18715934,Bogenhausen,48.13875,11.61005,Private room,130
20956556,Lovely Oktoberfest Room,116231650,Sendling,48.12478,11.54717,Private room,102
20956981,Beautiful flat in the centre of munich,61774889,Maxvorstadt,48.15381,11.57512,Private room,70
20957191,Stylish 80m Penthouse in central Munich,6046893,Au-Haidhausen,48.13157,11.59904,Entire home/apt,129
20957852,Lovely 24sqm room in our Home close to Oktoberfest,150736841,Neuhausen-Nymphenburg,48.15061,11.50941,Private room,140
20957951,Cosy double bedroom in architecture house.,3582689,Bogenhausen,48.16108,11.6236,Private room,54
20958111,"1 Zimmer im Penthouse, Dachterrasse, 350m U/S Bahn",9736771,Ramersdorf-Perlach,48.08739,11.64188,Private room,30
20958437,Cosy artsy flat right next to the Octoberfest,895421,Schwanthalerhöhe,48.1372,11.54193,Entire home/apt,150
20958515,Cozy apartment im Sendling,123389732,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09866,11.51526,Entire home/apt,105
